Suffix,Meaning,Count
ing,进行/名词,972
er,人/比较级,955
ed,过去/形容词,939
y,形容词/名词后缀,882
ly,副词后缀,810
al,形容词/名词后缀,454
ation,名词后缀,412
ic,形容词后缀,306
ity,性质,248
ive,形容词后缀,230
tion,名词后缀,226
or,人/物,215
ous,充满,179
ent,人/物,172
ment,名词后缀,167
able,可,162
ist,人,132
ical,形容词后缀,115
ant,人/物,114
ize,使成为,112
ness,性质,109
ty,性质,105
ary,有关,96
ence,名词后缀,90
sion,名词后缀,88
ure,名词后缀,86
ance,名词后缀,84
ism,主义,83
ful,充满,76
ion,名词后缀,69
less,无,65
ible,可,43
ship,关系/状态,37
ability,能力,20
hood,状态,15
